Топшириқлар рўйхати,,,,,,, 28/72,5/20,,,,,
,,,,Маъсул бўлим,Жами,Жараёнда,Муддати бузилган,,,,,,
,,25.03 / 12:38,,Методология,,0,1,,,,,,
,,25.03 / 12:38,,ИНСОН,,0,0,,,,,,
,,25.03 / 12:38,,Инфратузилма,,0,0,,,,,,
,,25.03 / 12:38,,Бошқа,,0,0,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
ПОИСК,,,,,,,,,,,,,
Т/Р,✓,Дата,Муҳимлик даражаси,Топшириқ номи,Маъсул бўлим,Топшириқ муддати,Топшириқ ҳолати,Тегишли эканлиги бўйича,Муддатидан кечиккан ,Муддатидан кечиккан *,"Муддати
бор",Муддатида,
1,TRUE,26.03 / 14:51,Ўртача,"Грузиялик мутахассиси билан гаплашиш 
(Мэри, комиссия)",Методология,01.04,2 кун,Директор,0,1,0,0,
2,TRUE,26.03 / 20:30,Юқори,КПИ бўйруғи,ИНСОН,26.03,Муддати бугун,Бошқа*,0,0,0,1,
3,TRUE,26.03 / 14:51,Юқори,Қорақалпоғистон Республикаси Тахиатош тумани записка,Бошқа,03.04,,Бошқа*,0,0,0,1,
4,TRUE,26.03 / 14:51,Ўртача,Шайхонтоҳур тумани қурилиш,Инфратузилма,01.04,1 кун,Директор,0,1,0,0,
5,TRUE,26.03 / 14:51,Ўртача,Шайхонтоҳур тумани Инсон маркази директори билан гаплашиш,ИНСОН,26.03,1 кун,Директор,0,1,0,0,
6,FALSE,26.03 / 14:51,Ўртача,Турғун Ҳайитов билан бот бўйича гаплашиш,Методология,,,Бошқа*,0,0,1,0,
7,TRUE,26.03 / 14:51,Паст,Фаровон оила дастури ижроси,Методология,28.03,4 кун,Бошқа*,0,1,0,0,
8,FALSE,26.03 / 14:51,Ўртача,"Программистлар билан гаплашиш (Қобил, Муҳаммадбобур)",Методология,,,Бошқа*,0,0,1,0,
9,FALSE,26.03 / 14:51,Юқори,"""Саҳоват ва кўмак"" қарорини кўриш",Методология,,,Бошқа*,0,0,1,0,
10,TRUE,01.04 / 16:04,Ўртача,"Қибрай тумани ""Имкон"" маркази бўйича Директорга кириш ",Инфратузилма,20.03,12 кун,Администрация,0,1,0,0,
11,TRUE,26.03 / 14:51,Ўртача,Азамат билан гаплашиш ўқитиш масаласида,Бошқа,21.03,12 кун,Бошқа*,0,1,0,0,
12,TRUE,26.03 / 14:51,Ўртача,Супервайзерлар ўрганишини сўраш,Методология,27.03,5 кун,Директор,0,1,0,0,
13,TRUE,26.03 / 14:51,Ўртача,Энг фаол ижтимоий ходимни сўраш,Методология,27.03,6 кун,Бошқа*,0,1,0,0,
14,FALSE,26.03 / 14:51,Ўртача,Энг фаол ижтимоий ходим қарорига ўзгартириш киритиш,Методология,,,Бошқа*,0,0,1,0,
15,TRUE,26.03 / 14:51,Паст,Азаматни ойлиги масаласи (Шоҳрух) ,Бошқа,28.03,5 кун,Бошқа*,0,1,0,0,
16,FALSE,26.03 / 14:51,Паст,Юристларни хисоботини сўраш,Методология,,,Бошқа*,0,0,1,0,
17,FALSE,26.03 / 14:51,Юқори,Хизматлар паспортини ўрганиш,Методология,,,Бошқа*,0,0,1,0,
18,FALSE,26.03 / 14:51,Юқори,"""Инсон"" марказлари қурилишини гаплашиш 
(2024 йил, 2025 йил режа)",Инфратузилма,,,Бошқа*,0,0,1,0,
19,TRUE,01.04 / 16:14,Паст,Сурхондарё вилояти бошқармаси биноси қурилиши масаласи буйича билдиришнома,Инфратузилма,01.04,1 кун,Бошқа*,0,1,0,0,
20,TRUE,26.03 / 14:51,Ўртача,Шўртепа биносини кўриб келиш,Инфратузилма,18.03,15 кун,Бошқа*,0,1,0,0,
21,FALSE,02.04 / 10:33,Юқори,Шўртепа биносини ремонтни молиялаштириш масаласи,Инфратузилма,,,Директор,0,0,1,0,
22,FALSE,26.03 / 14:51,Юқори,Мулоқот кўникмаларини ўқитиш масаласини Азамат билан гаплашиш,Бошқа,,,Бошқа*,0,0,1,0,
23,FALSE,26.03 / 14:51,Ўртача,Ҳисобот ёмон муомилада бўлганлар бўйича ижтимоий ходимлар,Методология,,,Бошқа*,0,0,1,0,
24,FALSE,26.03 / 14:51,Ўртача,Студентлар билан учрашиш масаласи,Методология,,,Бошқа*,0,0,1,0,
25,FALSE,26.03 / 14:51,Ўртача,Вилоятдаги Азаматнинг мутахассисларини иш фаолиятини ўрганиш ,Бошқа,,,Бошқа*,0,0,1,0,
26,FALSE,26.03 / 14:51,Паст,Психологлар бўйича Бобур Абдуллаев билан гаплашиш,Методология,,,Бошқа*,0,0,1,0,
27,FALSE,26.03 / 14:51,Ўртача,Муассасалардаги Ижтимоий ходимлар масаласи,Методология,,,Бошқа*,0,0,1,0,
28,FALSE,26.03 / 14:51,Ўртача,539 га ўзгартириш киритиш,Методология,,,Бошқа*,0,0,1,0,
29,FALSE,26.03 / 14:51,Ўртача,Руҳий касалликлар бўйича ,Методология,,,Директор,0,0,1,0,
30,FALSE,26.03 / 14:51,Ўртача,Сирдарё вилояти маҳаллага чиқиш,Инфратузилма,,,Администрация,0,0,1,0,
31,FALSE,26.03 / 14:51,Ўртача,Махсус олимпиада бўйича Фарҳод Расулов билан ишлаш,Бошқа,,,Бошқа*,0,0,1,0,
32,TRUE,26.03 / 14:51,Ўртача,Инвесткани маълумотини сўраш,Инфратузилма,29.03,4 кун,Бошқа*,0,1,0,0,
33,FALSE,26.03 / 14:51,Ўртача,"Операторларни муаммоларини сўраш
учрашувдаги",ИНСОН,,,Бошқа*,0,0,1,0,
34,FALSE,26.03 / 14:51,Ўртача,Ботдан келган мурожаатлар операторлар бўйича,ИНСОН,,,Бошқа*,0,0,1,0,
35,FALSE,26.03 / 14:52,Ўртача,ВАКда ижтимоий иш бўйича ишларни олиш,Методология,,,Бошқа*,0,0,1,0,
36,FALSE,26.03 / 14:52,Ўртача,Бўш бинолар бўйича топшириқ ижросини сўраш,Инфратузилма,,,Директор,0,0,1,0,
37,FALSE,26.03 / 14:52,Ўртача,Ҳудудларнинг машинаси масаласи (ҚР илтимоси),Бошқа,,,Бошқа*,0,0,1,0,
38,TRUE,26.03 / 14:52,Ўртача,Хоразм аёллар марказини муаммоси,Инфратузилма,16.03,18 кун,Бошқа*,0,1,0,0,
39,FALSE,26.03 / 14:52,Ўртача,"Шаҳрисабз туман ""Инсон"" маркази биноси масаласи",Инфратузилма,,,Бошқа*,0,0,1,0,
40,TRUE,26.03 / 14:52,Юқори,Бухоро Когон оператор масаласи,ИНСОН,31.03,2 кун,Бошқа*,0,1,0,0,
41,TRUE,26.03 / 14:52,Юқори,Ботга Сурхондарё бўйича мурожаати (МО) ўрганиш,Методология,20.03,13 кун,Директор,0,1,0,0,
42,TRUE,26.03 / 14:52,Юқори,Миразиздан МО топшириғи бўйича хисоботни сўраш,Методология,25.03,2 кун,Директор,0,1,0,0,
43,FALSE,26.03 / 14:52,Ўртача,Инсонларни бошлиқларини ўқитиш масаласини гаплашиш Азамат билан,Бошқа,,,Бошқа*,0,0,1,0,
